Load (kN),Torque (Nm),Vibration RMS (mm/s),Temperature (°C),Wear (mm),Lubrication Index,Efficiency (%),Cycles in Use,RUL (cycles)
28.9,102.63,5.308,68.82,0.3645,0.6649,94.58,31237,65567
32.43,107.44,3.777,71.65,0.3432,0.7671,94.35,18748,73444
38.12,143.9,8.799,78.32,0.9511,0.4369,90.68,48882,0
37.51,135.66,2.803,72.75,0.0175,0.9577,95.24,895,89663
76.4,301.05,10.055,115.48,1.5093,0.48,85.35,46215,0
52.26,223.64,4.847,84.12,0.5774,0.7646,90.81,23347,38566
24.22,104.41,4.183,62.9,0.1169,0.7076,95.14,9892,86115
31.76,139.63,2.754,67.13,0.021,0.9562,94.36,1339,89276
44.25,171.18,14.45,105.24,2.1782,0.05,83.07,100000,182
44.34,171.75,2.907,63.06,0.0045,1.0,95.97,192,89508
31.73,106.03,4.715,76.76,0.5824,0.7091,93.55,41126,47840
39.57,155.26,5.393,77.84,0.5814,0.6803,91.69,38456,32302
34.18,109.38,2.336,67.6,0.2234,0.8627,95.16,13270,79201
68.19,245.26,7.516,82.57,0.7285,0.884,91.56,19082,25716
46.97,173.74,8.411,106.28,1.586,0.3177,86.11,74042,232
23.44,83.41,2.054,57.71,0.1747,0.835,95.71,14092,83581
27.72,100.28,7.69,88.22,1.2663,0.3772,89.63,100000,313
43.25,177.42,5.971,84.92,0.5092,0.7157,92.53,20810,57293
39.16,200.86,3.328,57.03,0.0602,1.0,95.96,2752,86864
49.4,205.45,9.729,100.31,1.3369,0.3812,86.54,46992,0
35.62,165.22,4.995,73.48,0.1017,0.8889,95.28,6660,83920
43.51,207.04,5.335,76.82,0.5069,0.8026,93.26,22630,54451
50.71,197.85,4.204,76.7,0.2577,0.8853,93.37,9679,74028
57.18,181.93,9.131,87.6,1.5676,0.6637,87.36,47421,0
43.29,164.17,6.125,87.62,0.936,0.5386,90.19,49294,0
18.31,65.86,3.716,60.27,0.059,0.8969,95.81,7014,88044
50.11,181.59,5.555,89.77,0.6861,0.7194,89.54,28985,23248
35.48,136.5,4.015,70.57,0.0406,0.8536,95.82,2801,88026
71.91,255.42,4.796,76.72,0.4253,0.9755,93.48,14853,47402
38.12,163.6,4.361,61.27,0.043,1.0,97.37,2853,88381
40.71,133.8,3.511,74.65,0.0733,1.0,95.02,4354,86167
23.97,66.59,2.884,71.62,0.0623,0.9258,94.91,6678,87752
42.49,157.92,6.0,82.25,0.3803,0.8437,92.57,18130,65303
41.02,148.93,1.99,75.75,0.0466,1.0,95.51,2262,88188
82.8,302.85,4.086,96.98,0.3048,1.0,92.13,7502,66551
42.31,153.91,3.347,79.21,0.0041,0.807,95.57,184,89275
44.73,160.27,9.418,91.81,1.4208,0.4075,86.88,64095,56
68.18,270.54,5.203,82.31,0.8583,0.7804,91.02,22498,2485
47.41,168.07,3.369,77.88,0.0969,0.8527,95.4,5135,84049
60.18,220.52,13.841,107.19,2.3459,0.379,82.24,74014,0
46.68,155.23,5.632,70.83,0.4914,0.8621,94.02,21870,54187
28.49,111.4,3.407,68.69,0.0153,1.0,96.36,1194,89977
53.85,179.44,5.608,87.81,0.6199,0.7349,91.4,20837,39520
40.56,137.15,7.453,93.47,0.6099,0.4677,90.06,28617,38246
61.89,223.02,10.742,107.04,1.5215,0.3932,85.98,45157,0
66.55,256.34,9.49,101.84,1.6086,0.5546,86.62,50437,0
8.0,59.89,3.052,59.12,0.0299,0.8361,96.77,8154,89049
