Load (kN),Torque (Nm),Vibration RMS (mm/s),Temperature (°C),Wear (mm),Lubrication Index,Efficiency (%),Cycles in Use,RUL (cycles)
49.66,206.79,2.492,52.99,0.2349,0.9655,97.15,14078,88346
71.73,331.34,12.956,100.63,2.4048,0.2619,86.62,90304,0
61.26,225.07,7.559,87.58,0.8968,0.5816,91.9,39502,580
35.52,153.06,3.917,70.0,0.3307,0.8191,95.6,27388,82176
82.17,326.05,3.28,84.85,0.1256,1.0,94.79,5089,92428
22.36,102.35,1.21,47.91,0.0322,1.0,97.34,5088,98770
54.96,193.18,0.89,73.65,0.0268,1.0,96.36,1795,98773
35.19,154.37,6.932,80.13,0.8088,0.4467,92.48,60337,31582
23.23,136.34,4.112,67.6,0.1996,0.6171,95.48,27572,89095
29.58,113.34,4.603,70.22,0.403,0.5927,94.24,36938,76707
49.11,176.13,1.567,59.45,0.0088,1.0,97.21,624,100165
56.3,249.64,10.292,87.56,1.6988,0.2707,89.39,100000,36
69.06,283.73,7.906,90.42,1.1031,0.347,91.49,53593,54
76.57,340.46,3.873,79.34,0.1663,0.9185,95.75,7161,87757
55.0,252.98,3.806,65.61,0.1134,1.0,96.99,6020,93799
42.02,197.13,2.302,58.14,0.0755,1.0,96.85,6078,96705
68.7,288.04,3.953,82.56,0.2208,0.8007,94.62,10883,80310
38.94,200.01,4.449,61.82,0.2512,0.7829,96.15,22318,82236
21.28,105.26,3.249,59.08,0.1014,0.7532,97.29,16966,94758
66.9,266.52,2.83,81.92,0.2047,0.9118,95.33,10327,84915
73.83,297.08,7.085,84.24,0.7574,0.5911,92.33,28391,12252
35.21,173.96,3.382,75.41,0.0606,0.8356,96.59,4507,97328
85.29,371.62,3.584,94.09,0.3172,0.8592,92.94,10365,75778
60.49,239.65,4.487,70.7,0.2925,0.8898,94.89,13688,80741
57.81,235.66,3.411,70.77,0.3218,0.7023,95.32,18268,71462
40.7,169.66,6.374,85.65,0.6386,0.406,93.28,46138,37958
68.31,303.31,1.626,69.8,0.1283,1.0,96.07,6682,90773
22.56,90.3,2.783,64.0,0.151,0.7384,96.69,21661,93294
43.88,210.61,4.889,78.86,0.4449,0.6386,93.51,26925,68932
36.8,161.81,0.845,59.39,0.0146,0.9737,97.65,1427,99163
26.44,138.31,4.495,66.98,0.2083,0.6108,96.32,28060,87309
65.53,252.31,3.578,70.65,0.1157,0.8071,96.19,5609,92137
56.14,265.79,1.951,56.31,0.0375,1.0,97.62,2018,97607
64.48,294.23,11.24,100.94,1.933,0.3099,86.63,89211,0
44.99,190.46,9.345,87.08,1.5282,0.2961,90.15,100000,737
67.73,273.97,8.808,90.68,1.3359,0.4872,90.1,49570,386
51.39,241.88,2.587,62.77,0.2012,0.9605,96.11,10899,89138
41.5,165.14,2.427,54.66,0.0473,0.9475,96.73,3083,98612
38.5,161.59,3.726,59.36,0.3751,0.7511,97.07,34583,70943
14.31,70.2,3.229,58.33,0.0701,0.7542,96.7,17403,97244
70.96,275.31,4.859,83.09,0.1068,0.8845,94.01,3905,94181
68.92,285.79,5.009,97.1,0.484,0.6926,93.01,20506,54390
102.69,412.88,4.554,93.63,0.0354,1.0,94.99,1050,97276
43.98,153.58,6.479,84.33,0.8854,0.4847,92.37,72013,0
38.0,201.27,2.078,60.44,0.1224,0.8508,96.72,8984,93512
19.37,68.27,3.538,64.05,0.1763,0.6797,96.26,32588,91220
67.28,295.05,3.121,87.54,0.2218,0.8458,95.04,11206,81877
63.14,307.06,4.312,79.18,0.513,0.856,94.55,22023,62116
77.93,314.65,5.347,78.71,0.6213,0.712,94.23,23737,32785
33.5,115.5,2.274,64.29,0.0692,0.9494,96.15,6132,96727
62.89,299.4,10.946,89.72,2.2187,0.3811,87.59,100000,183
40.6,151.9,6.032,81.23,0.6791,0.5619,93.32,44767,43927
