Worm_RPM,Input_Torque,Output_Torque,Motor_Current,Oil_Temp,Ambient_Temp,Axial_Vib,Radial_Vib,Cu_PPM,Fe_PPM,Efficiency_Calc,Friction_Coeff,Backlash,Failure_Label,Fault_Type,RUL_Cycles
1911.3,59.71,1956.12,21.54,65.15,23.69,4.883,1.173,47.23,13.29,0.819,0.0391,0.1388,Minor Fault,General Degredation,71076
3466.9,78.11,2311.07,27.83,154.95,23.45,5.765,2.127,91.3,15.96,0.7397,0.055,0.1583,Major Fault,Thermal Breakdown,6384
2876.4,69.38,2366.56,21.06,84.85,30.11,4.506,2.164,79.84,13.52,0.8528,0.0239,0.0983,No Fault,Healthy,112175
2516.4,47.93,1546.78,19.02,63.51,24.9,3.891,1.302,44.35,17.43,0.8068,0.0419,0.1305,Minor Fault,General Degredation,65214
1321.3,86.81,2951.42,26.0,56.49,24.59,5.22,2.327,24.99,9.0,0.85,0.0305,0.1146,No Fault,Healthy,155139
1321.2,36.96,1175.18,15.7,47.7,28.91,3.373,1.494,43.27,9.01,0.7948,0.0442,0.1538,Minor Fault,General Degredation,103760
1056.8,64.14,2241.61,19.8,44.44,32.42,3.883,1.95,29.03,5.71,0.8738,0.0212,0.088,No Fault,Healthy,519292
3238.7,47.66,1497.43,18.05,91.33,27.09,3.431,1.295,37.43,11.24,0.7855,0.0433,0.1252,Minor Fault,General Degredation,29389
2523.0,37.69,1086.61,18.08,72.13,21.13,3.916,1.173,61.4,12.47,0.7207,0.0594,0.1749,Minor Fault,General Degredation,25075
2811.8,42.99,1400.38,15.57,70.17,27.6,3.833,1.187,47.31,7.15,0.8144,0.0345,0.1226,Minor Fault,General Degredation,78767
955.6,59.26,2029.23,18.16,36.88,22.14,3.711,1.921,37.16,5.34,0.8561,0.0249,0.1113,No Fault,Healthy,546495
3518.8,65.25,2022.44,22.84,123.34,27.01,4.955,1.798,88.7,11.0,0.7749,0.0466,0.1496,Major Fault,Thermal Breakdown,13887
3147.6,75.88,2399.35,23.79,126.34,34.39,4.412,1.768,48.35,19.88,0.7905,0.0368,0.1307,Major Fault,Thermal Breakdown,21152
1473.3,82.14,2521.7,28.12,91.19,36.87,4.217,2.025,39.68,18.04,0.7675,0.0494,0.1437,Minor Fault,General Degredation,22765
1390.9,64.17,1982.16,23.41,62.47,23.4,5.859,2.6,82.69,13.31,0.7723,0.051,0.1378,Minor Fault,General Degredation,45431
1395.2,53.35,1682.36,20.65,45.14,14.12,4.941,1.691,51.84,12.4,0.7883,0.0503,0.1486,Minor Fault,General Degredation,89500
1721.5,75.59,2394.18,24.74,75.89,22.96,4.517,2.133,53.1,19.16,0.7919,0.0397,0.1235,Minor Fault,General Degredation,50907
2316.8,50.78,1501.99,21.27,79.01,22.24,4.724,1.403,103.13,11.72,0.7395,0.0582,0.1658,Minor Fault,General Degredation,21813
2066.3,36.07,1103.95,16.57,53.06,17.94,3.555,1.577,73.08,11.54,0.7652,0.0479,0.1481,Minor Fault,General Degredation,71383
1686.3,74.09,2457.95,23.64,62.72,21.93,4.696,2.134,44.86,7.96,0.8294,0.0328,0.1248,No Fault,Healthy,108769
2552.0,79.86,2584.18,25.51,96.85,21.65,4.84,2.095,87.65,9.72,0.809,0.0335,0.1191,Minor Fault,Thermal Breakdown,43836
1276.6,47.67,1412.35,20.54,56.11,23.61,3.946,1.852,66.4,16.83,0.7406,0.053,0.1528,Minor Fault,General Degredation,52103
1688.8,89.41,2768.85,29.56,92.63,26.5,6.168,1.976,56.87,9.61,0.7742,0.0467,0.1455,Minor Fault,Bearing Instability,24720
1889.2,68.75,2285.44,21.22,63.21,24.66,4.321,1.995,70.85,14.56,0.8311,0.0328,0.104,No Fault,Healthy,107112
2131.4,66.51,2130.47,21.93,83.48,32.0,5.046,2.21,40.19,9.05,0.8008,0.0364,0.1252,Minor Fault,General Degredation,49825
3020.0,52.25,1635.97,18.62,102.42,36.13,4.507,2.04,43.57,18.05,0.7828,0.0394,0.1343,Major Fault,Thermal Breakdown,28261
1439.1,75.26,2360.29,25.9,67.51,22.72,5.147,1.841,60.98,10.11,0.7841,0.0482,0.171,Minor Fault,General Degredation,43799
2288.4,37.13,1195.37,14.55,56.16,24.68,4.296,1.277,51.03,10.84,0.8048,0.0378,0.1313,Minor Fault,General Degredation,102272
2499.5,54.9,1635.07,23.03,96.11,32.23,5.297,1.824,45.41,14.62,0.7445,0.0531,0.1604,Minor Fault,Thermal Breakdown,17661
1025.4,49.0,1541.14,17.71,46.21,25.61,4.428,1.933,105.54,12.07,0.7863,0.0436,0.1348,Minor Fault,General Degredation,113701
2540.4,40.37,1195.84,18.3,69.82,22.56,3.814,1.668,78.51,13.0,0.7406,0.0536,0.1639,Minor Fault,General Degredation,32910
1360.4,72.94,2405.66,22.53,63.69,32.52,3.731,1.831,41.69,9.92,0.8245,0.0285,0.1109,No Fault,Healthy,139710
1075.6,65.12,1978.53,25.05,50.19,19.04,4.455,2.25,117.87,14.7,0.7596,0.055,0.1646,Minor Fault,General Degredation,60405
3462.0,72.07,2181.73,26.14,141.58,26.9,4.968,2.124,56.33,12.61,0.7568,0.0517,0.1439,Major Fault,Thermal Breakdown,8651
3507.2,55.83,1783.23,20.15,98.18,25.04,3.618,1.747,39.34,9.07,0.7986,0.0408,0.1234,Major Fault,Thermal Breakdown,28743
3082.7,74.78,2428.77,24.38,97.95,18.11,4.062,2.295,101.17,7.02,0.812,0.0347,0.1205,Minor Fault,Thermal Breakdown,39982
1722.5,61.16,1872.39,22.78,71.8,27.38,5.083,1.938,45.02,18.25,0.7654,0.053,0.1392,Minor Fault,General Degredation,31780
1163.7,52.92,1723.44,18.5,42.45,22.45,3.524,1.713,33.46,14.41,0.8142,0.0354,0.1342,Minor Fault,General Degredation,204046
2747.4,50.42,1639.43,18.3,79.23,29.36,3.954,1.61,41.93,20.66,0.8129,0.0399,0.1333,Minor Fault,General Degredation,45939
2088.4,30.26,939.19,14.46,47.08,19.11,3.897,1.471,101.09,9.08,0.776,0.0451,0.1383,Minor Fault,General Degredation,102137
1229.5,77.47,2575.76,23.99,62.14,34.03,4.346,2.152,43.91,8.66,0.8313,0.0286,0.1204,No Fault,Healthy,145788
2237.0,75.76,2413.03,24.31,87.01,24.27,4.721,2.233,52.62,8.73,0.7962,0.0382,0.1176,Minor Fault,General Degredation,41807
992.8,103.91,3482.87,31.95,53.92,22.09,4.717,2.356,59.05,13.28,0.8379,0.0308,0.1055,No Fault,Healthy,166936
3355.2,54.98,1900.68,18.34,76.65,28.04,3.978,1.719,41.93,9.36,0.8642,0.0244,0.099,No Fault,Healthy,131690
1598.7,50.0,1443.33,22.19,65.86,25.18,5.566,1.157,94.36,16.11,0.7217,0.0608,0.1674,Minor Fault,General Degredation,28776
2688.8,34.48,1137.39,13.91,63.58,31.74,3.231,1.427,27.36,11.8,0.8247,0.0334,0.115,No Fault,Healthy,101953
1741.6,74.4,2307.07,25.54,85.92,32.84,4.508,1.892,42.99,9.84,0.7752,0.0462,0.1504,Minor Fault,General Degredation,29137
2304.2,70.95,2096.59,26.71,97.77,17.0,5.623,1.606,59.7,16.9,0.7388,0.0609,0.1417,Minor Fault,Thermal Breakdown,13128
2376.1,83.28,2725.68,26.04,91.25,22.96,4.375,2.198,53.3,6.84,0.8183,0.0337,0.1118,Minor Fault,General Degredation,48603
1399.1,46.25,1566.98,16.16,48.49,28.21,3.665,2.408,23.21,9.64,0.847,0.0274,0.1086,No Fault,Healthy,261016
3517.9,70.75,2122.79,27.69,140.4,26.08,5.939,1.77,91.3,12.55,0.7502,0.0576,0.1542,Major Fault,Thermal Breakdown,7093
2992.9,52.17,1734.98,18.76,69.1,22.98,3.525,1.767,45.32,7.1,0.8314,0.0307,0.1094,No Fault,Healthy,102408
3436.6,80.16,2592.08,25.47,128.11,28.57,4.998,2.3,36.04,13.41,0.8085,0.0359,0.1275,Major Fault,Thermal Breakdown,21804
3316.0,68.04,2224.7,21.73,105.83,28.87,4.291,1.821,35.88,8.05,0.8174,0.0343,0.1157,Major Fault,Thermal Breakdown,34849
2514.3,36.66,1164.76,15.16,59.8,21.55,3.319,1.616,51.34,12.42,0.7942,0.0415,0.1384,Minor Fault,General Degredation,74863
3389.1,58.03,2014.86,17.95,69.62,21.24,3.551,1.883,20.76,36.74,0.868,0.0218,0.094,No Fault,Healthy,200015
1138.9,30.78,959.51,14.58,32.94,18.48,3.175,1.198,64.79,13.34,0.7794,0.0462,0.1483,Minor Fault,General Degredation,199064
1429.2,42.55,1349.98,17.69,56.92,31.98,4.259,1.937,78.57,11.95,0.7932,0.0447,0.1403,Minor Fault,General Degredation,71249
1022.1,43.46,1333.01,18.18,43.57,23.21,4.46,0.913,40.02,13.21,0.7668,0.0487,0.1533,Minor Fault,General Degredation,102402
1778.4,50.39,1525.66,19.27,72.95,29.69,3.887,1.535,45.0,11.02,0.757,0.0484,0.1535,Minor Fault,General Degredation,36906
1949.4,56.06,1749.56,20.32,63.3,17.31,3.578,1.675,38.74,9.32,0.7802,0.0445,0.1397,Minor Fault,General Degredation,57934
1632.6,62.47,2049.87,21.56,59.69,22.34,3.786,2.268,88.98,8.24,0.8204,0.0369,0.109,No Fault,Healthy,94886
3137.6,61.72,2001.44,22.14,94.43,22.52,5.482,1.879,37.7,9.74,0.8107,0.0406,0.1437,Minor Fault,General Degredation,31387
1863.2,59.64,1985.73,20.09,59.64,20.08,4.077,1.732,47.89,7.3,0.8324,0.0335,0.1166,No Fault,Healthy,115536
1658.5,64.99,2113.63,22.7,63.72,26.93,4.4,2.04,53.46,10.3,0.8131,0.0419,0.1335,Minor Fault,General Degredation,64663
2365.3,41.25,1353.83,16.01,55.2,23.14,2.494,1.379,62.03,11.49,0.8204,0.0321,0.1059,No Fault,Healthy,146717
1280.5,61.1,1978.73,21.98,55.41,30.84,4.039,1.547,48.0,32.85,0.8097,0.0414,0.1176,Minor Fault,General Degredation,87429
3065.9,81.52,2690.09,26.25,108.15,26.0,4.412,2.221,55.46,12.92,0.825,0.0356,0.1437,Major Fault,Thermal Breakdown,31001
1101.3,57.51,1905.3,18.69,45.43,22.47,3.658,1.759,32.5,11.08,0.8282,0.0318,0.1153,No Fault,Healthy,220957
3564.6,67.42,1997.13,23.45,147.24,32.87,3.728,2.008,76.62,12.45,0.7406,0.0505,0.1604,Major Fault,Thermal Breakdown,8391
